date_time,ARAI1,ARKI1,ATAI1,ATLI1,BASI1,BCFI1,BENLK,BNRI1,BOGI1,BOII,BR,BRFI1,BSKI1,CCDI1,COZI1,DEDI1,DEHI1,DHDI1,FAFI,FLEI1,GAVI1,GGSI1,GLNI1,GLSI1,HPFI1,IDHI1,ITD36,ITD42,ITD51,ITD71,ITD78,JKPI1,KBOI,LDP,LTAI1,LW,MRKI1,ORRI1,PNFI1,PRAI1,PRLI1,SCR,SKLCK,SLDMS,SLDMT,SRSI1,STNI1,SVT,TCFI1,TL,TR216,TRMI1,TS718,TTSID,VINMT,VNNI1,WAGI1,YFFI1
2016-10-01 00:00:00+00:00,,,187.0,,,145.232,,,325.0,177.697,,,,,,,136.921,,140.44,128.89,,160.0,,,154.543,,184.608,163.029,98.878,167.509,168.602,0.0,139.796,,35.83,164.235,196.0,122.186,174.953,,,,175.57,,197.066,,124.12,185.807,160.996,104.847,,,,,189.354,0.0,169.213,266.185
2016-10-01 01:00:00+00:00,,,142.0,,,132.421,,,358.0,172.262,,,,,,,133.581,,145.505,126.026,,159.0,,,130.118,,220.287,166.171,96.538,150.587,178.082,0.0,136.888,,101.832,136.444,195.0,118.592,178.995,,,,175.122,,168.085,,150.097,170.999,132.454,114.624,,,,,163.682,0.0,186.805,290.378
2016-10-01 02:00:00+00:00,,,116.0,,,132.427,,,6.0,154.99,,,,,,,127.275,,146.673,122.093,,169.0,,,116.77,,280.931,157.783,94.278,183.321,207.093,0.0,133.981,,84.303,104.971,204.0,123.028,67.167,,,,168.118,,143.529,,155.318,141.433,123.159,108.837,,,,,146.612,0.0,226.111,33.993
2016-10-01 03:00:00+00:00,,,121.0,,,121.426,,,23.0,151.779,,,,,,,71.78,,124.994,98.09,,355.0,,,102.291,,286.564,160.041,83.62,126.784,241.777,0.0,134.488,,63.562,114.999,178.0,124.357,142.383,,,,166.582,,140.731,,167.645,115.87,124.6,120.733,,,,,182.801,0.0,251.313,44.355
2016-10-01 04:00:00+00:00,,,130.0,,,112.557,,,0.0,186.05,,,,,,,105.836,,87.591,44.723,,30.0,,,93.85,,283.41,185.133,75.532,138.234,217.83,0.0,139.9,,56.888,122.812,168.0,125.348,350.84,,,,160.504,,134.894,,132.628,123.139,130.863,139.343,,,,,154.172,0.0,250.389,9.564
2016-10-01 05:00:00+00:00,,,133.0,,,112.812,,,357.0,147.081,,,,,,,58.754,,87.512,126.758,,16.0,,,95.127,,302.82,188.006,88.617,141.338,173.352,0.0,142.508,,59.693,145.0,173.0,123.668,323.579,,,,153.277,,142.371,,144.003,132.516,137.789,92.19,,,,,158.238,0.0,286.111,355.344
2016-10-01 06:00:00+00:00,,,135.0,,,107.231,,,0.0,134.901,,,,,,,44.225,,49.271,80.71,,334.0,,,97.753,,297.179,170.558,97.403,73.29,133.212,0.0,136.055,,70.012,121.59,161.0,111.929,303.707,,,,130.47,,141.086,,111.387,147.444,140.752,69.765,,,,,153.124,0.0,180.661,61.585
2016-10-01 07:00:00+00:00,,,128.0,,,112.282,,,19.0,132.02,,,,,,,47.661,,129.183,58.569,,154.0,,,105.679,,278.274,203.263,99.572,56.423,140.76,0.0,133.189,,92.943,124.544,170.0,116.026,299.594,,,,139.168,,152.802,,131.978,145.067,196.443,145.192,,,,,170.141,0.0,342.123,52.868
2016-10-01 08:00:00+00:00,,,138.0,,,130.792,,,25.0,157.46,,,,,,,41.774,,89.505,72.468,,332.0,,,111.875,,220.317,189.038,99.577,124.656,173.262,0.0,160.455,,132.72,159.229,158.0,152.139,19.072,,,,164.27,,167.867,,157.408,153.755,289.495,199.435,,,,,149.164,0.0,13.524,46.248
2016-10-01 09:00:00+00:00,,,134.0,,,231.73,,,134.0,156.506,,,,,,,46.744,,104.057,75.811,,305.0,,,113.985,,186.916,171.817,132.519,157.818,180.044,0.0,160.883,,122.1,167.58,173.0,153.473,160.822,,,,174.499,,164.394,,141.2,148.553,297.856,198.753,,,,,151.637,0.0,25.671,44.47
2016-10-01 10:00:00+00:00,,,151.0,,,216.909,,,132.0,210.046,,,,,,,47.192,,199.558,45.243,,147.0,,,111.507,,198.922,157.079,,156.771,180.905,0.0,187.896,,93.201,255.816,201.0,162.65,137.883,,,,181.42,,198.884,,131.209,158.745,118.779,239.483,,,,,177.212,0.0,173.103,48.773
2016-10-01 11:00:00+00:00,,,126.0,,,142.185,,,156.0,237.474,,,,,,,52.61,,178.273,355.508,,150.0,,,104.215,,240.702,135.005,,142.642,168.909,0.0,206.761,,77.71,130.935,195.0,204.147,116.772,,,,173.066,,205.101,,158.123,191.037,171.607,35.397,,,,,188.637,0.0,236.092,92.126
2016-10-01 12:00:00+00:00,,,136.0,,,134.123,,,114.0,201.468,,,,,,,48.72,,210.627,46.114,,120.0,,,113.602,,266.529,148.277,,188.844,174.663,0.0,131.671,,69.143,91.934,196.0,185.216,109.454,,,,165.126,,209.696,,142.747,202.397,228.26,341.841,,,,,167.099,0.0,70.264,24.11
2016-10-01 13:00:00+00:00,,,132.0,,,125.047,,,330.0,131.108,,,,,,,352.529,,211.714,356.064,,86.0,,,114.805,,224.178,182.12,,209.917,170.817,0.0,95.51,,68.813,136.824,207.0,182.308,174.811,,,,162.231,,221.186,,139.979,190.262,132.636,,,,,,168.894,0.0,313.826,293.801
2016-10-01 14:00:00+00:00,,,94.0,,,238.129,,,135.0,343.787,,,,,,,284.746,,196.221,202.273,,317.0,,,117.696,,277.167,172.306,,207.971,,0.0,124.105,,101.567,174.65,194.0,104.82,177.3,,,,163.555,,226.133,,118.007,180.847,247.838,,,,,,186.648,0.0,345.26,304.43
2016-10-01 15:00:00+00:00,,,136.0,,,134.189,,,124.0,162.533,,,,,,,275.524,,193.434,122.022,,177.0,,,120.804,,296.87,201.629,,200.776,172.223,0.0,319.358,,266.355,233.026,183.0,112.653,176.674,,,,174.758,,236.998,,102.961,194.464,209.213,70.572,,,,,210.305,0.0,248.583,333.934
2016-10-01 16:00:00+00:00,,,128.0,,,131.018,,,319.0,268.61,,,,,,,272.544,,258.202,174.059,,325.0,,,143.276,,282.361,243.148,,194.441,220.404,0.0,315.183,,266.436,279.577,164.0,333.923,180.509,,,,194.803,,245.784,,138.858,223.869,220.881,245.801,,,,,216.544,0.0,215.785,351.039
2016-10-01 17:00:00+00:00,,,116.0,,,148.497,,,323.0,278.215,,,,,,,261.513,,258.957,96.101,,122.0,,,113.634,,228.027,188.533,,204.475,236.657,0.0,304.905,,274.376,305.417,151.0,321.992,186.37,,,,180.88,,229.158,,126.954,236.761,232.085,183.516,,,,,183.583,0.0,96.596,256.823
2016-10-01 18:00:00+00:00,,,169.0,,,225.578,,,327.0,292.58,,,,,,,236.171,,231.579,95.98,,150.0,,,126.899,,180.906,164.674,,219.041,280.926,0.0,314.201,,310.167,308.759,119.0,322.641,199.144,,,,175.457,,221.244,,128.091,186.516,299.223,231.282,,,,,168.033,0.0,137.131,38.943
2016-10-01 19:00:00+00:00,,,216.0,,,213.299,,,327.0,284.908,,,,,,,221.124,,242.872,99.947,,206.0,,,128.556,,176.797,170.219,,214.82,207.735,0.0,314.339,,320.846,289.503,105.0,324.988,188.946,,,,188.433,,227.306,,159.795,191.003,298.905,270.907,,,,,175.719,0.0,200.742,267.723
2016-10-01 20:00:00+00:00,,,226.0,,,158.678,,,329.0,292.934,,,,,,,215.782,,243.594,212.423,,210.0,,,157.254,,207.874,208.166,,216.566,240.371,0.0,315.128,,285.281,267.554,88.0,325.929,196.271,,,,220.76,,235.65,,202.255,215.32,274.51,175.173,,,,,193.346,0.0,238.325,268.292
2016-10-01 21:00:00+00:00,,,234.0,,,200.557,,,329.0,284.412,,,,,,,219.515,,244.082,229.074,,206.0,,,166.972,,195.56,220.49,,202.84,241.383,0.0,319.421,,296.485,217.733,38.0,322.468,190.085,,,,224.747,,235.971,,201.399,240.714,268.183,227.652,,,,,217.233,0.0,220.488,239.517
2016-10-01 22:00:00+00:00,,,242.0,,,243.668,,,328.0,280.441,,,,,,,237.561,,253.244,230.387,,207.0,,,155.65,,245.505,221.497,,191.901,275.279,0.0,328.388,,302.606,290.308,8.0,326.999,207.776,,,,205.402,,237.067,,170.327,253.22,271.973,240.065,,,,,213.88,0.0,224.579,226.416
2016-10-01 23:00:00+00:00,,,215.0,,,265.564,,,316.0,233.38,,,,,,,244.516,,263.515,233.006,,217.0,,,162.392,,204.17,224.196,,204.719,291.084,0.0,339.723,,321.611,310.731,63.0,330.954,212.813,,,,192.853,,229.656,,244.03,252.355,291.332,251.529,,,,,196.287,0.0,214.559,257.62
2016-10-02 00:00:00+00:00,,,238.0,,,273.179,,,305.0,173.856,,,,,,,267.448,,280.708,244.014,,199.0,,,159.477,,176.59,230.298,,175.419,230.534,0.0,340.95,,300.648,313.146,131.0,340.215,201.842,,,,217.744,,241.804,,252.098,254.233,302.891,193.445,,,,,196.211,0.0,245.038,268.362
2016-10-02 01:00:00+00:00,,,260.0,,,265.783,,,295.0,326.33,,,,,,,317.043,,287.785,272.379,,186.0,,,156.282,,284.64,228.032,,82.355,308.491,0.0,345.579,,327.321,283.283,178.0,346.94,233.434,,,,217.7,,250.26,,242.841,261.986,278.81,127.012,,,,,217.147,0.0,234.685,230.124
2016-10-02 02:00:00+00:00,,,104.0,,,266.552,,,149.0,300.204,,,,,,,346.085,,285.169,255.129,,41.0,,,123.825,,292.922,233.981,,29.086,305.844,0.0,342.423,,345.787,35.239,210.0,340.101,233.782,,,,217.292,,258.942,,195.748,243.974,266.29,259.26,,,,,218.888,0.0,331.277,270.206
2016-10-02 03:00:00+00:00,,,107.0,,,205.161,,,113.0,300.235,,,,,,,357.208,,269.277,253.716,,354.0,,,123.538,,292.326,173.61,,6.113,161.599,0.0,328.712,,1.627,46.97,192.0,337.876,277.975,,,,257.598,,256.981,,185.43,243.969,251.458,99.306,,,,,222.486,0.0,356.186,322.034
2016-10-02 04:00:00+00:00,,,116.0,,,135.475,,,98.0,316.585,,,,,,,356.337,,217.175,55.954,,24.0,,,125.212,,296.355,171.586,,240.235,292.76,0.0,327.965,,18.672,50.503,190.0,328.191,323.733,,,,263.721,,249.055,,184.13,205.24,213.124,88.165,,,,,223.605,0.0,268.14,347.896
2016-10-02 05:00:00+00:00,,,125.0,,,100.85,,,96.0,261.547,,,,,,,359.715,,273.645,60.417,,8.0,,,122.226,,267.581,183.977,,50.458,317.256,0.0,134.421,,38.609,54.3,172.0,329.585,331.095,,,,263.188,,243.316,,181.755,186.824,181.837,97.168,,,,,194.762,0.0,309.132,54.654
2016-10-02 06:00:00+00:00,,,128.0,,,97.733,,,89.0,298.823,,,,,,,41.816,,194.714,63.077,,3.0,,,119.236,,270.176,200.166,,43.538,5.422,0.0,122.163,,59.785,61.632,168.0,329.212,6.73,,,,262.881,,231.077,,181.465,185.47,151.732,158.451,,,,,185.961,0.0,354.542,155.532
2016-10-02 07:00:00+00:00,,,120.0,,,94.709,,,93.0,237.932,,,,,,,48.369,,270.3,80.03,,12.0,,,117.771,,277.74,189.697,,49.811,0.221,0.0,150.567,,78.09,64.631,167.0,334.574,42.786,,,,263.269,,192.147,,175.618,178.331,131.28,32.032,,,,,169.215,0.0,15.062,139.147
2016-10-02 08:00:00+00:00,,,126.0,,,85.974,,,83.0,196.406,,,,,,,43.823,,134.436,70.583,,349.0,,,116.055,,277.478,191.271,,49.609,13.811,0.0,148.418,,91.479,60.256,175.0,351.027,46.009,,,,263.64,,170.339,,178.516,165.688,128.281,49.814,,,,,144.495,0.0,21.979,111.483
2016-10-02 09:00:00+00:00,,,126.0,,,84.171,,,115.0,72.611,,,,,,,38.675,,226.379,76.102,,356.0,,,115.69,,279.122,218.954,,61.562,,0.0,146.446,,104.099,60.775,121.0,21.754,31.901,,,,255.723,,165.465,,151.225,167.825,133.289,79.108,,,,,145.45,0.0,31.864,332.625
2016-10-02 10:00:00+00:00,,,138.0,,,102.659,,,129.0,135.729,,,,,,,46.799,,281.727,60.88,,16.0,,,117.574,,285.938,177.89,,60.985,,0.0,116.769,,113.982,75.507,121.0,65.289,20.535,,,,203.973,,147.599,,152.938,167.925,139.961,97.964,,,,,144.629,0.0,39.907,312.188
2016-10-02 11:00:00+00:00,,,125.0,,,108.248,,,134.0,168.786,,,,,,,48.572,,209.109,54.643,,345.0,,,112.814,,255.107,201.094,,,,0.0,77.974,,119.704,69.32,133.0,88.224,19.685,,,,171.203,,134.244,,162.705,163.926,141.21,114.497,,,,,156.646,0.0,22.797,217.773
2016-10-02 12:00:00+00:00,,,141.0,,,117.198,,,8.0,146.058,,,,,,,49.074,,118.968,72.376,,42.0,,,113.013,,233.579,224.386,,47.013,312.246,0.0,101.931,,120.023,141.177,193.0,100.657,29.631,,,,157.227,,121.891,,196.72,140.534,129.748,176.119,,,,,151.711,0.0,266.93,47.746
2016-10-02 13:00:00+00:00,,,115.0,,,112.899,,,23.0,218.862,,,,,,,168.688,,151.085,47.632,,37.0,,,103.735,,266.667,189.865,,57.574,,0.0,180.542,,121.472,108.791,202.0,118.01,26.575,,,,159.476,,120.211,,208.539,123.219,92.168,146.411,,,,,166.658,0.0,62.919,1.525
2016-10-02 14:00:00+00:00,,,150.0,,,104.173,,,27.0,224.028,,,,,,,38.268,,124.649,84.972,,351.0,,,113.655,,244.174,156.232,,64.654,,0.0,122.489,,271.2,121.597,158.0,205.228,5.931,,,,158.828,,140.19,,139.825,122.2,125.956,191.121,,,,,159.193,0.0,45.971,295.737
2016-10-02 15:00:00+00:00,,,165.0,,,116.127,,,351.0,236.844,,,,,,,35.795,,187.423,95.42,,76.0,,,117.366,,193.552,149.15,,67.516,,0.0,59.988,,121.937,90.497,109.0,33.568,14.195,,,,129.743,,146.465,,126.666,127.602,123.069,104.664,,,,,122.813,0.0,21.28,205.224
2016-10-02 16:00:00+00:00,,,146.0,,,98.944,,,56.0,144.953,,,,,,,50.585,,188.147,73.027,,345.0,,,109.084,,124.768,154.08,,67.513,,0.0,111.208,,130.148,118.986,47.0,127.054,28.505,,,,124.185,,135.821,,122.196,145.668,340.115,100.321,,,,,144.303,0.0,25.86,196.488
2016-10-02 17:00:00+00:00,,,149.0,,,87.985,,,20.0,224.404,,,,,,,84.943,,147.089,317.348,,203.0,,,105.572,,96.584,156.034,,99.349,176.217,0.0,189.817,,165.76,112.354,38.0,148.232,102.824,,,,151.786,,126.836,,137.372,176.994,306.589,134.489,,,,,176.566,0.0,22.97,181.693
2016-10-02 18:00:00+00:00,,,174.0,,,84.016,,,23.0,268.311,,,,,,,101.533,,95.021,98.646,,201.0,,,141.889,,96.546,171.926,,169.123,170.245,0.0,216.051,,239.053,201.471,292.0,156.954,177.941,,,,160.062,,124.465,,139.692,126.298,300.19,183.448,,,,,159.642,0.0,18.487,42.736
2016-10-02 19:00:00+00:00,,,195.0,,,263.141,,,60.0,295.011,,,,,,,110.303,,92.835,180.54,,175.0,,,109.026,,152.094,138.412,,179.045,179.215,0.0,272.284,,279.921,261.729,315.0,157.009,193.135,,,,168.088,,128.193,,134.417,130.714,154.403,103.885,,,,,174.443,0.0,38.607,212.962
2016-10-02 20:00:00+00:00,,,208.0,,,245.561,,,37.0,264.001,,,,,,,155.26,,124.933,49.85,,213.0,,,111.407,,193.831,144.176,,177.74,192.688,0.0,296.145,,336.506,274.143,352.0,178.89,197.07,,,,168.635,,152.769,,324.602,146.335,196.397,130.955,,,,,151.32,0.0,45.909,165.112
2016-10-02 21:00:00+00:00,,,207.0,,,263.615,,,335.0,283.302,,,,,,,196.024,,161.68,101.705,,199.0,,,106.148,,191.871,171.638,,205.036,186.766,0.0,314.348,,334.39,290.349,21.0,286.847,199.337,,,,167.628,,167.146,,317.817,153.799,262.311,182.931,,,,,167.092,0.0,181.971,227.736
2016-10-02 22:00:00+00:00,,,198.0,,,293.922,,,322.0,286.863,,,,,,,215.072,,197.477,147.648,,176.0,,,120.646,,192.962,159.38,,213.463,194.079,0.0,325.361,,330.04,280.385,41.0,309.832,206.065,,,,172.148,,194.602,,342.868,172.746,287.834,304.122,,,,,164.998,0.0,194.717,287.166
2016-10-02 23:00:00+00:00,,,228.0,,,293.221,,,319.0,309.242,,,,,,,227.752,,244.444,172.36,,177.0,,,156.087,,146.532,285.116,,210.332,241.362,0.0,326.113,,317.206,293.486,242.0,319.17,204.221,,,,175.486,,216.17,,338.314,200.343,298.741,249.125,,,,,169.65,0.0,219.467,281.309
2016-10-03 00:00:00+00:00,,,201.0,,,116.207,,,311.0,321.015,,,,,,,264.865,,272.072,236.913,,329.0,,,158.201,,227.403,187.184,,213.486,295.877,0.0,335.041,,304.258,306.644,156.0,326.28,208.552,,,,178.569,,243.016,,286.497,230.892,294.164,175.382,,,,,193.373,0.0,220.28,8.234
2016-10-03 01:00:00+00:00,,,317.0,,,283.953,,,303.0,332.072,,,,,,,313.49,,279.363,253.99,,317.0,,,229.042,,239.885,318.617,,232.154,309.893,0.0,338.012,,310.536,334.531,118.0,332.312,216.339,,,,168.754,,272.09,,306.661,248.119,299.999,117.968,,,,,234.66,0.0,225.065,322.013
2016-10-03 02:00:00+00:00,,,30.0,,,313.972,,,282.0,296.281,,,,,,,337.348,,245.112,253.356,,336.0,,,93.276,,291.046,257.22,,243.864,283.189,0.0,336.955,,311.536,10.586,179.0,334.193,232.015,,,,120.97,,283.042,,305.373,291.948,312.273,25.899,,,,,39.83,0.0,25.473,41.778
2016-10-03 03:00:00+00:00,,,29.0,,,354.513,,,119.0,273.877,,,,,,,330.616,,245.921,298.463,,339.0,,,16.806,,299.4,242.58,,263.067,287.157,0.0,329.125,,104.779,22.296,213.0,338.756,262.242,,,,208.261,,299.626,,276.081,330.722,351.072,31.519,,,,,30.303,0.0,17.868,213.125
2016-10-03 04:00:00+00:00,,,43.0,,,95.171,,,283.0,222.529,,,,,,,325.216,,255.381,323.352,,75.0,,,302.611,,282.603,192.466,,53.65,300.691,0.0,310.431,,107.508,34.379,222.0,320.955,319.271,,,,284.2,,303.996,,283.224,321.752,42.652,94.458,,,,,22.484,0.0,356.962,45.735
2016-10-03 05:00:00+00:00,,,29.0,,,101.241,,,280.0,80.892,,,,,,,319.767,,256.375,247.547,,4.0,,,289.222,,278.378,272.873,,133.541,283.708,0.0,287.788,,92.62,180.543,120.0,301.675,343.105,,,,292.67,,310.498,,298.337,323.636,4.654,192.507,,,,,21.638,0.0,4.193,46.294
2016-10-03 06:00:00+00:00,,,13.0,,,109.523,,,288.0,193.933,,,,,,,308.218,,253.938,195.854,,336.0,,,290.388,,283.759,256.995,,215.424,249.853,0.0,276.233,,69.098,279.335,215.0,302.318,25.276,,,,235.043,,308.024,,293.673,352.21,290.732,186.606,,,,,28.08,0.0,8.404,82.674
2016-10-03 07:00:00+00:00,,,9.0,,,87.094,,,319.0,122.455,,,,,,,309.446,,268.837,230.239,,11.0,,,305.146,,251.048,317.485,,222.13,180.372,0.0,175.919,,35.122,295.662,101.0,320.995,121.87,,,,182.198,,304.757,,295.312,15.505,220.803,259.53,,,,,34.15,0.0,14.454,67.631
2016-10-03 08:00:00+00:00,,,0.0,,,84.162,,,320.0,265.422,,,,,,,318.045,,258.682,236.592,,358.0,,,307.145,,271.512,324.893,,221.495,162.536,0.0,324.411,,359.775,307.112,79.0,337.528,140.644,,,,191.048,,249.042,,322.834,322.529,289.065,246.326,,,,,12.702,0.0,358.714,40.581
2016-10-03 09:00:00+00:00,,,26.0,,,298.191,,,321.0,341.428,,,,,,,319.895,,300.001,301.17,,13.0,,,298.956,,245.296,359.303,,218.972,150.687,0.0,334.648,,340.281,274.703,201.0,331.945,144.77,,,,170.698,,291.174,,17.623,309.336,294.596,280.636,,,,,268.703,0.0,9.709,109.651
2016-10-03 10:00:00+00:00,,,356.0,,,294.182,,,318.0,340.805,,,,,,,320.188,,294.649,319.836,,340.0,,,295.756,,301.758,72.298,,218.332,167.33,0.0,331.304,,335.727,313.017,208.0,318.855,96.891,,,,140.245,,306.147,,13.533,318.093,153.011,74.296,,,,,288.743,0.0,20.909,202.703
2016-10-03 11:00:00+00:00,,,356.0,,,321.543,,,316.0,245.559,,,,,,,326.307,,279.715,298.932,,342.0,,,298.883,,307.652,345.036,,225.513,189.792,0.0,336.459,,330.422,297.733,227.0,313.673,301.91,,,,145.507,,308.661,,351.622,318.182,219.994,164.922,,,,,315.854,0.0,350.348,227.133
2016-10-03 12:00:00+00:00,,,354.0,,,296.396,,,313.0,265.622,,,,,,,321.913,,270.529,292.347,,305.0,,,298.774,,243.965,333.301,,212.08,188.726,0.0,329.954,,347.444,233.765,162.0,319.448,297.728,,,,169.801,,309.154,,333.92,326.026,183.718,282.238,,,,,307.404,0.0,342.886,249.786
2016-10-03 13:00:00+00:00,,,11.0,,,317.959,,,315.0,16.088,,,,,,,324.561,,269.938,269.47,,158.0,,,301.711,,216.572,338.702,,223.168,,0.0,331.043,,13.664,173.746,138.0,315.573,289.385,,,,165.384,,310.672,,319.701,323.288,139.511,198.408,,,,,219.39,0.0,9.906,269.281
2016-10-03 14:00:00+00:00,,,15.0,,,311.75,,,321.0,28.018,,,,,,,313.445,,269.553,263.264,,351.0,,,302.762,,195.361,332.712,,226.518,175.817,0.0,337.587,,24.803,184.543,147.0,317.984,274.129,,,,132.158,,313.727,,324.691,323.045,153.772,199.665,,,,,157.66,0.0,25.68,295.3
2016-10-03 15:00:00+00:00,,,8.0,,,296.482,,,321.0,348.187,,,,,,,316.866,,272.511,263.611,,260.0,,,301.045,,177.935,252.05,,218.627,177.088,0.0,332.503,,10.144,308.872,33.0,320.141,258.021,,,,127.547,,319.292,,358.995,328.544,238.586,110.605,,,,,54.316,0.0,29.847,299.359
2016-10-03 16:00:00+00:00,,,10.0,,,289.738,,,320.0,347.043,,,,,,,313.883,,279.039,239.296,,93.0,,,299.017,,171.768,267.036,,217.32,180.608,0.0,322.035,,338.315,326.032,1.0,315.744,245.202,,,,137.033,,317.778,,356.056,328.899,267.583,242.824,,,,,288.116,0.0,26.384,292.498
2016-10-03 17:00:00+00:00,,,359.0,,,286.865,,,323.0,340.069,,,,,,,306.172,,287.155,253.832,,131.0,,,298.44,,213.347,333.047,,207.206,184.105,0.0,309.29,,275.215,305.497,24.0,310.708,225.875,,,,150.562,,311.307,,328.679,324.192,275.173,244.242,,,,,313.693,0.0,359.113,283.901
2016-10-03 18:00:00+00:00,,,351.0,,,287.722,,,327.0,301.064,,,,,,,297.479,,287.067,261.339,,159.0,,,300.797,,222.759,324.105,,205.258,200.903,0.0,301.367,,297.71,307.599,39.0,314.586,199.37,,,,169.239,,305.568,,309.167,319.491,245.91,182.274,,,,,311.021,0.0,33.067,275.207
2016-10-03 19:00:00+00:00,,,352.0,,,279.891,,,327.0,255.36,,,,,,,287.87,,280.98,271.096,,167.0,,,301.274,,208.625,314.202,,209.216,202.192,0.0,304.639,,296.423,304.393,18.0,312.487,200.014,,,,136.069,,307.653,,244.722,313.167,244.636,198.734,,,,,302.791,0.0,37.85,235.236
2016-10-03 20:00:00+00:00,,,3.0,,,269.031,,,325.0,281.654,,,,,,,288.013,,279.567,269.185,,179.0,,,297.992,,203.376,300.082,,213.996,214.395,0.0,306.262,,298.761,294.181,160.0,309.65,207.804,,,,176.22,,310.113,,340.073,301.804,276.599,226.072,,,,,295.792,0.0,13.277,228.963
2016-10-03 21:00:00+00:00,,,2.0,,,277.09,,,327.0,297.596,,,,,,,291.296,,274.625,273.229,,194.0,,,299.53,,269.92,277.218,259.392,214.42,212.091,0.0,304.075,,309.261,282.342,160.0,304.255,203.53,,,,153.72,,314.519,,91.505,309.704,295.818,266.357,,,,,288.857,0.0,48.754,217.833
2016-10-03 22:00:00+00:00,,,354.0,,,267.973,,,324.0,281.049,,,,,,,290.901,,273.97,281.412,,207.0,,,300.32,,283.357,335.131,293.7,215.515,228.409,0.0,289.495,,306.973,287.363,125.0,299.398,213.703,,,,135.739,,313.763,,118.782,302.455,332.207,192.73,,,,,277.398,0.0,304.121,176.805
2016-10-03 23:00:00+00:00,,,2.0,,,261.777,,,326.0,308.782,,,,,,,294.047,,273.319,306.728,,340.0,,,301.576,,235.305,341.832,279.984,213.591,256.155,0.0,284.178,,295.939,272.632,141.0,294.483,213.945,,,,134.893,,317.03,,3.165,300.893,293.422,149.838,,,,,284.732,0.0,337.65,206.351
2016-10-04 00:00:00+00:00,,,8.0,,,279.013,,,328.0,292.818,,,,,,,289.901,,275.985,282.543,,336.0,,,299.992,,120.657,338.895,270.611,,,0.0,272.394,,295.029,284.845,131.0,297.599,213.145,,,,176.636,,315.742,,336.031,301.46,292.99,126.399,,,,,288.974,0.0,356.804,236.531
2016-10-04 01:00:00+00:00,,,22.0,,,285.593,,,325.0,295.223,,,,,,,286.622,,284.18,268.964,,348.0,,,298.39,,54.96,329.339,265.358,226.447,263.484,0.0,266.825,,309.769,258.435,118.0,295.704,205.673,,,,205.756,,315.875,,334.204,311.012,300.925,119.391,,,,,292.937,0.0,354.621,242.966
2016-10-04 02:00:00+00:00,,,21.0,,,262.033,,,325.0,245.262,,,,,,,294.386,,283.158,261.481,,20.0,,,299.742,,298.959,315.458,264.817,196.965,234.67,0.0,254.352,,332.385,217.533,5.0,295.769,126.901,,,,199.972,,317.755,,336.588,327.738,327.35,312.515,,,,,301.352,0.0,355.578,251.224
2016-10-04 03:00:00+00:00,,,21.0,,,247.1,,,295.0,159.801,,,,,,,290.933,,275.228,258.057,,25.0,,,301.43,,296.848,310.266,262.682,199.337,174.666,0.0,151.234,,,107.66,183.0,326.971,48.923,,,,185.19,,317.221,,341.902,328.724,32.61,314.489,,,,,290.385,0.0,11.896,287.065
2016-10-04 04:00:00+00:00,,,14.0,,,228.249,,,182.0,233.433,,,,,,,306.662,,264.893,249.462,,348.0,,,304.509,,306.456,300.614,256.266,211.677,170.171,0.0,68.148,,,48.108,100.0,17.158,43.795,,,,146.07,,317.681,,286.855,324.438,,311.263,,,,,261.196,0.0,21.985,303.343
2016-10-04 05:00:00+00:00,,,15.0,,,172.64,,,124.0,320.734,,,,,,,312.767,,261.289,242.266,,59.0,,,303.869,,311.907,298.896,259.331,223.077,209.371,0.0,26.84,,,50.684,166.0,31.645,41.636,,,,113.135,,315.678,,258.698,322.987,,302.905,,,,,66.758,0.0,4.486,307.949
2016-10-04 06:00:00+00:00,,,356.0,,,116.488,,,152.0,139.314,,,,,,,308.181,,258.616,234.655,,17.0,,,301.405,,306.278,298.216,255.237,177.345,224.412,0.0,93.942,,,66.014,58.0,40.368,44.547,,,,131.695,,316.584,,231.951,323.561,,234.791,,,,,57.212,0.0,21.133,305.992
2016-10-04 07:00:00+00:00,,,32.0,,,103.051,,,111.0,152.265,,,,,,,295.627,,257.23,200.11,,13.0,,,300.874,,298.2,279.959,254.115,194.01,162.455,0.0,95.269,,,56.136,154.0,91.037,46.514,,,,166.618,,309.591,,190.212,323.906,,293.821,,,,,197.281,0.0,22.037,298.492
2016-10-04 08:00:00+00:00,,,22.0,,,101.83,,,91.0,174.667,,,,,,,315.514,,260.997,191.751,,283.0,,,300.179,,306.856,188.748,254.665,62.877,166.511,0.0,8.64,,,50.696,207.0,52.115,47.89,,,,207.947,,312.748,,153.554,329.101,,272.491,,,,,306.304,0.0,349.19,285.003
2016-10-04 09:00:00+00:00,,,23.0,,,109.888,,,122.0,143.102,,,,,,,313.463,,263.289,221.306,,358.0,,,298.973,,309.064,167.534,259.975,113.337,161.228,0.0,11.139,,,53.795,195.0,30.931,41.726,,,,204.316,,309.222,,,320.678,,359.666,,,,,309.77,0.0,322.27,266.36
2016-10-04 10:00:00+00:00,,,28.0,,,142.376,,,118.0,174.082,,,,,,,327.671,,257.113,239.575,,33.0,,,294.28,,301.624,185.749,254.766,75.259,158.208,0.0,120.089,,,54.88,180.0,66.172,36.929,,,,25.293,,306.467,,,315.29,280.041,15.846,,,,,283.456,0.0,338.459,275.517
